x,y,z,dx,dy,dz,xx,yy,zz,dxx,dyy,dzz,label
-0.698,0.159,0.649,-0.046,-0.058,-0.105,-12.695,18.066,-16.968,6.104,-7.202,-4.7,1
-0.702,0.14,0.615,-0.003,-0.019,-0.035,-3.479,2.441,-12.695,9.216,-15.625,4.272,1
-0.658,0.177,0.72,0.043,0.037,0.105,6.348,-13.733,-8.606,9.827,-16.174,4.089,1
-0.683,0.046,0.776,-0.025,-0.13,0.056,1.16,-3.479,-9.827,-5.188,10.254,-1.221,1
-0.701,0.089,0.744,-0.018,0.043,-0.032,2.808,7.996,-4.639,1.648,11.475,5.188,1
-0.69,0.097,0.704,0.01,0.007,-0.04,-5.798,4.028,-6.531,-8.606,-3.967,-1.892,1
-0.677,0.081,0.742,0.013,-0.016,0.038,3.113,7.996,2.075,8.911,3.967,8.606,1
-0.676,0.137,0.684,0.001,0.057,-0.058,-6.409,2.014,1.221,-9.521,-5.981,-0.854,1
-0.696,0.113,0.836,-0.02,-0.024,0.152,5.31,8.362,-6.042,11.719,6.348,-7.263,1
-0.718,0.117,0.729,-0.022,0.004,-0.107,-8.789,7.568,-11.597,-14.099,-0.793,-5.554,1
-0.734,0.097,0.697,-0.015,-0.02,-0.032,-12.085,0.366,-6.104,-3.296,-7.202,5.493,1
-0.753,0.138,0.697,-0.02,0.041,0,-4.089,6.104,4.395,7.996,5.737,10.498,1
-0.7,0.192,0.565,0.053,0.054,-0.133,-15.503,4.944,5.493,-11.414,-1.16,1.099,1
-0.701,0.167,0.588,-0.001,-0.025,0.023,-18.799,-5.554,11.23,-3.296,-10.498,5.737,1
-0.677,0.088,0.678,0.023,-0.08,0.091,-42.358,-1.282,-2.38,-23.56,4.272,-13.611,1
-0.871,-0.137,0.786,-0.194,-0.225,0.108,-6.897,-14.587,1.099,35.461,-13.306,3.479,1
-0.724,-0.169,0.609,0.147,-0.031,-0.177,-4.333,15.076,-31.372,2.563,29.663,-32.471,1
-0.749,-0.063,0.653,-0.025,0.106,0.044,61.646,15.93,6.226,65.979,0.854,37.598,1
-0.732,-0.096,0.54,0.017,-0.034,-0.113,12.939,-49.683,-8.606,-48.706,-65.613,-14.832,1
-0.725,-0.01,0.73,0.008,0.086,0.19,-40.222,-29.541,-27.344,-53.162,20.142,-18.738,1
-0.68,-0.107,0.678,0.045,-0.097,-0.052,-60.852,-0.854,-14.343,-20.63,28.687,13,1
-0.564,-0.163,0.654,0.116,-0.056,-0.024,70.557,0.977,19.104,131.409,1.831,33.447,1
-0.592,-0.07,0.654,-0.027,0.092,-0.001,-17.029,-20.142,22.461,-87.585,-21.118,3.357,1
-0.647,-0.133,0.864,-0.055,-0.062,0.211,-38.879,-18.005,12.939,-21.851,2.136,-9.521,1
-0.549,-0.056,0.82,0.098,0.077,-0.044,0.488,16.113,13.123,39.368,34.119,0.183,1
-0.562,-0.015,0.777,-0.013,0.041,-0.043,21.118,-9.827,5.859,20.63,-25.94,-7.263,1
-0.634,0.047,0.821,-0.072,0.063,0.044,10.315,-7.996,-3.479,-10.803,1.831,-9.338,1
-0.592,0.042,0.802,0.041,-0.005,-0.019,4.639,2.441,-4.211,-5.676,10.437,-0.732,1
-0.516,0.047,0.833,0.076,0.004,0.031,43.518,16.907,-63.843,38.879,14.465,-59.631,1
-0.69,0.098,0.798,-0.174,0.051,-0.035,-15.015,41.748,-8.911,-58.533,24.841,54.932,1
-0.744,0.073,0.831,-0.054,-0.025,0.034,-11.719,14.526,26.062,3.296,-27.222,34.973,1
-0.654,0.143,0.687,0.09,0.07,-0.145,27.893,24.048,18.311,39.612,9.521,-7.751,1
-0.591,0.077,0.663,0.063,-0.067,-0.024,-32.288,-33.386,5.432,-60.181,-57.434,-12.878,1
-0.682,0.012,0.811,-0.091,-0.065,0.148,-34.79,35.095,22.339,-2.502,68.481,16.907,1
-0.623,0.078,0.756,0.06,0.067,-0.055,30.334,55.908,26.855,65.125,20.813,4.517,1
-0.735,-0.002,0.706,-0.112,-0.081,-0.05,10.315,20.752,1.16,-20.02,-35.156,-25.696,1
-0.669,0.035,0.737,0.066,0.037,0.031,3.784,-5.249,-1.709,-6.531,-26.001,-2.869,1
-0.656,0.011,0.775,0.013,-0.024,0.038,5.798,-9.583,-8.85,2.014,-4.333,-7.141,1
-0.672,0.03,0.772,-0.016,0.019,-0.003,-5.859,-14.526,-1.709,-11.658,-4.944,7.141,1
-0.637,0.036,0.753,0.036,0.006,-0.019,-10.559,-2.563,-0.366,-4.7,11.963,1.343,1
-0.65,0.053,0.794,-0.014,0.016,0.041,-7.812,-3.174,2.93,2.747,-0.61,3.296,1
-0.622,0.071,0.74,0.029,0.019,-0.054,-7.08,1.099,3.418,0.732,4.272,0.488,1
-0.638,0.07,0.797,-0.016,-0.001,0.057,1.77,1.831,0.732,8.85,0.732,-2.686,1
-0.624,0.031,0.73,0.014,-0.04,-0.067,1.587,2.197,-1.282,-0.183,0.366,-2.014,1
-0.652,0.049,0.785,-0.029,0.019,0.056,0.305,2.625,-0.488,-1.282,0.427,0.793,1
-0.627,0.031,0.751,0.026,-0.018,-0.034,5.005,-2.686,-3.113,4.7,-5.31,-2.625,1
-0.621,0.049,0.773,0.006,0.018,0.022,-1.221,-5.127,-8.972,-6.226,-2.441,-5.859,1
-0.643,0.036,0.756,-0.022,-0.013,-0.017,-5.127,-13.611,-1.77,-3.906,-8.484,7.202,1
-0.614,0.084,0.772,0.03,0.048,0.016,-4.15,-7.935,-7.812,0.977,5.676,-6.042,1
-0.562,0.127,0.804,0.052,0.043,0.032,-18.066,17.517,6.897,-13.916,25.452,14.709,1
-0.636,0.022,0.76,-0.075,-0.105,-0.044,-0.427,0,-6.653,17.639,-17.517,-13.55,1
-0.743,0.065,0.705,-0.107,0.042,-0.055,47.18,44.922,-22.278,47.607,44.922,-15.625,1
-0.731,0.08,0.617,0.012,0.015,-0.088,-7.812,24.048,16.846,-54.993,-20.874,39.124,1
-0.673,0.078,0.72,0.058,-0.001,0.103,0.488,-24.658,-40.833,8.301,-48.706,-57.678,1
-0.624,0.188,0.883,0.049,0.109,0.163,-43.945,-10.803,-26.428,-44.434,13.855,14.404,1
-0.578,-0.078,0.94,0.046,-0.266,0.057,-62.256,28.442,5.005,-18.311,39.246,31.433,1
-0.647,-0.003,0.74,-0.068,0.075,-0.2,21.484,-24.048,5.066,83.74,-52.49,0.061,1
-0.796,0.238,0.684,-0.149,0.241,-0.056,71.655,-5.371,-12.268,50.171,18.677,-17.334,1
-0.675,0.094,0.652,0.121,-0.144,-0.032,-22.217,17.456,-8.301,-93.872,22.827,3.967,1
-0.775,0.173,0.396,-0.1,0.079,-0.256,-20.691,11.108,11.353,1.526,-6.348,19.653,1
