  -0.447,  -0.383,   0.727,   0.162,   0.392,   0.205
  -0.263,   0.274,   0.729,   0.184,   0.657,   0.002
  -0.332,  -0.425,   0.543,  -0.070,  -0.699,  -0.186
  -0.610,  -1.304,   0.509,  -0.278,  -0.879,  -0.034
  -0.656,  -1.142,   0.169,  -0.046,   0.162,  -0.340
  -0.554,  -0.489,   0.729,   0.101,   0.652,   0.560
  -0.369,   0.361,   0.545,   0.185,   0.850,  -0.183
  -0.408,  -0.047,   0.423,  -0.039,  -0.408,  -0.122
  -0.698,  -1.332,   0.523,  -0.290,  -1.286,   0.100
  -0.574,  -0.896,   0.232,   0.124,   0.437,  -0.291
  -0.556,  -0.588,   0.782,   0.018,   0.308,   0.550
  -0.352,   0.355,   0.536,   0.204,   0.943,  -0.246
  -0.387,  -0.430,   0.549,  -0.035,  -0.786,   0.013
  -0.711,  -1.434,  -0.036,  -0.324,  -1.004,  -0.585
  -0.554,  -1.121,   0.145,   0.156,   0.313,   0.180
  -0.458,   0.051,   0.509,   0.096,   1.172,   0.364
  -0.389,   0.356,   0.502,   0.069,   0.305,  -0.007
  -0.453,  -0.630,   0.747,  -0.064,  -0.987,   0.245
  -0.618,  -1.294,   0.281,  -0.166,  -0.663,  -0.467
  -0.493,  -0.426,   0.960,   0.125,   0.868,   0.679
  -0.408,   0.195,   0.525,   0.085,   0.621,  -0.435
  -0.323,   0.394,   0.438,   0.085,   0.199,  -0.087
  -0.603,  -0.710,   0.606,  -0.280,  -1.103,   0.168
  -0.469,  -0.647,   0.578,   0.134,   0.063,  -0.028
  -0.478,  -0.716,   1.026,  -0.008,  -0.069,   0.448
  -0.357,   0.294,   0.499,   0.120,   1.010,  -0.526
  -0.370,   0.579,   0.307,  -0.012,   0.285,  -0.193
  -0.617,  -1.109,   0.673,  -0.247,  -1.688,   0.366
  -0.384,  -0.678,   0.696,   0.233,   0.431,   0.023
  -0.300,  -0.499,   1.066,   0.084,   0.180,   0.370
  -0.464,   0.659,   0.176,  -0.164,   1.157,  -0.890
  -0.260,   0.010,   0.538,   0.204,  -0.648,   0.362
  -0.769,  -1.389,   0.923,  -0.509,  -1.399,   0.385
  -0.547,  -1.041,   0.604,   0.222,   0.348,  -0.319
  -0.259,   0.024,   0.591,   0.288,   1.066,  -0.013
  -0.277,   0.260,   0.381,  -0.018,   0.236,  -0.210
  -0.621,  -1.210,   0.768,  -0.344,  -1.470,   0.387
  -0.377,  -0.747,   0.539,   0.244,   0.463,  -0.229
  -0.389,  -0.531,   1.064,  -0.012,   0.216,   0.526
  -0.439,   0.345,   0.485,  -0.050,   0.876,  -0.579
  -0.332,   0.305,   0.326,   0.107,  -0.040,  -0.159
  -0.777,  -1.549,   0.889,  -0.446,  -1.854,   0.563
  -0.419,  -0.754,   0.614,   0.358,   0.796,  -0.276
  -0.283,  -0.207,   0.887,   0.137,   0.547,   0.273
  -0.286,   0.544,   0.363,  -0.003,   0.752,  -0.523
  -0.420,  -0.881,   0.589,  -0.133,  -1.426,   0.226
  -0.376,  -0.827,   0.976,   0.043,   0.054,   0.387
