x,yz,label
4561,-4.88,2
4545,-5.29,2
4561,-5.35,2
4529,-5.35,2
4449,-5.35,2
4769,-5.36,2
4641,-4.88,2
4657,-5.35,2
4609,-4.88,2
4657,-5.35,2
4625,-5.35,2
5137,-5.33,2
4561,-5.35,2
4657,-5.35,2
4657,-5.35,2
4689,-5.33,2
4657,-5.35,2
4705,-5.35,2
4817,-5.35,2
4737,-5.35,2
4689,-4.95,2
4673,-5.35,2
4737,-5.36,2
4689,-5.35,2
4673,-5.33,2
4721,-5.33,2
4849,-5.33,2
4801,-4.88,2
4737,-4.87,2
4689,-4.87,2
4673,-4.88,2
4753,-4.88,2
4785,-4.88,2
4737,-4.87,2
5201,-4.88,2
4705,-4.88,2
4577,-4.88,2
5137,-4.88,2
4353,-4.88,2
4865,-4.87,2
5153,-4.87,2
4737,-4.9,2
5025,-4.88,2
4769,-5.35,2
4833,-4.88,2
5377,-4.88,2
5281,-4.87,2
5473,-4.9,2
4993,-4.88,2
4785,-4.88,2
5377,-4.88,2
5041,-4.88,2
4897,-4.87,2
5217,-4.88,2
5425,-4.87,2
5457,-4.88,2
5457,-4.88,2
5153,-4.9,2
5329,-4.87,2
5137,-4.88,2
5265,-4.88,2
5201,-4.87,2
5425,-4.88,2
4929,-4.88,2
4929,-4.88,2
4993,-4.88,2
5009,-4.9,2
5025,-4.88,2
5041,-4.87,2
4913,-4.87,2
5153,-4.88,2
4961,-4.88,2
4881,-4.88,2
5201,-4.88,2
5057,-4.88,2
4977,-4.87,2
4929,-4.88,2
4945,-4.88,2
5025,-4.9,2
4945,-4.88,2
5073,-4.88,2
4993,-4.87,2
4817,-4.88,2
4881,-4.87,2
5009,-4.88,2
5025,-4.87,2
5521,-4.88,2
4993,-4.88,2
5265,-4.88,2
5697,-4.88,2
4641,-4.87,2
5777,-4.88,2
5201,-4.88,2
5057,-4.88,2
5761,-4.88,2
5441,-4.87,2
4993,-4.88,2
5441,-4.88,2
5297,-4.88,2
5601,-4.88,2
5345,-4.88,2
5377,-4.88,2
5793,-4.88,2
5521,-4.9,2
5649,-4.88,2
5537,-4.88,2
5601,-5.29,2
5297,-4.88,2
5793,-4.87,2
5793,-4.9,2
5329,-4.88,2
5633,-4.87,2
5297,-4.88,2
5217,-4.88,2
5521,-4.88,2
5489,-4.87,2
5345,-4.87,2
5393,-4.88,2
5665,-4.88,2
5441,-4.88,2
5249,-4.87,2
5441,-5.29,2
5313,-5.29,2
5281,-5.29,2
5761,-5.29,2
5265,-5.28,2
5201,-5.28,2
5329,-5.29,2
5217,-4.88,2
5729,-5.29,2
5313,-4.87,2
5729,-5.31,2
5505,-5.31,2
5473,-5.29,2
5281,-5.29,2
2320,-3.45,2
2208,-3.38,2
2048,-2.7,2
2400,-1.92,2
2080,-1.53,2
1872,1.8,3
1824,-17.01,3
2368,-19.45,2
1792,-10.2,3
1920,-18.32,3
2176,-22.17,2
2240,-24.93,2
2128,-22.41,2
1984,-22.8,3
2272,-20.84,2
2256,-25.81,2
1856,-25.14,3
1984,-26.14,3
2240,-27.79,2
1936,-21.58,3
2560,-16.09,2
2128,-23.89,2
2496,-17.35,2
2528,-20.72,2
1968,-18.49,3
2272,-19.91,2
2176,-19.52,2
2048,-18.6,2
2240,-19.57,2
2048,-22.24,2
2272,-22.24,2
1936,-22.7,3
2704,-22.67,2
1968,-11.3,3
2096,-19.62,2
2224,-3.9,2
2128,-22.65,2
1808,-22.25,3
2128,-22.24,2
1744,-16.57,3
2624,-19.76,2
